BX = 000 Event : 1
0x00 0101101|0101011 0x16AB
0x01 0101101|1000110 0x16C6
0x02 0101101|0000001 0x1681
BX = 001 Event : 2
0x00 0001000|0001111 0x040F
0x01 0001000|0010010 0x0412
0x02 0001000|0010011 0x0413
0x03 0001000|1000000 0x0440
0x04 0001111|0001111 0x078F
0x05 0001111|0010010 0x0792
0x06 0001111|0010011 0x0793
0x07 0001111|1000000 0x07C0
BX = 010 Event : 3
0x00 0000001|0101010 0x00AA
0x01 0000010|0101010 0x012A
0x02 0000011|0010010 0x0192
0x03 0000011|0010110 0x0196
0x04 0000101|0010111 0x0297
0x05 0000101|0011010 0x029A
0x06 0000101|0011011 0x029B
0x07 0010100|0010011 0x0A13
0x08 0010100|0010111 0x0A17
0x09 0010100|0011010 0x0A1A
0x0a 0010100|0011011 0x0A1B
0x0b 0010100|0100000 0x0A20
0x0c 0010100|0100001 0x0A21
0x0d 0010101|0010011 0x0A93
0x0e 0010101|0010111 0x0A97
0x0f 0010101|0011010 0x0A9A
0x10 0010101|0011011 0x0A9B
0x11 0011100|0010010 0x0E12
0x12 0011100|0010110 0x0E16
BX = 011 Event : 4
0x00 0011011|0010111 0x0D97
0x01 0011100|0010111 0x0E17
0x02 0011101|0010111 0x0E97
0x03 0011111|0110100 0x0FB4
0x04 0011111|0111000 0x0FB8
0x05 0011111|0111001 0x0FB9
0x06 0011111|0111010 0x0FBA
BX = 100 Event : 5
0x00 0000100|0010110 0x0216
0x01 0000101|0010110 0x0296
0x02 0000110|0010110 0x0316
0x03 0001101|0010001 0x0691
0x04 0001110|0000110 0x0706
0x05 0001111|0000110 0x0786
BX = 101 Event : 6
0x00 0000001|0111110 0x00BE
0x01 0010010|0111001 0x0939
0x02 0010010|0111010 0x093A
0x03 0010011|0111010 0x09BA
0x04 0010011|0111011 0x09BB
0x05 0010101|0111010 0x0ABA
0x06 0010101|0111011 0x0ABB
BX = 110 Event : 7
0x00 0001001|0000101 0x0485
0x01 0001111|0100001 0x07A1
