BX = 000 Event : 1
0x00 0111110|0101111 0x1F2F
BX = 001 Event : 2
BX = 010 Event : 3
BX = 011 Event : 4
0x00 0001110|0011110 0x071E
BX = 100 Event : 5
0x00 0001001|1011100 0x04DC
0x01 0011011|1011010 0x0DDA
0x02 0100100|1011101 0x125D
0x03 0100111|1011101 0x13DD
0x04 0101001|1011100 0x14DC
0x05 0101001|1011101 0x14DD
BX = 101 Event : 6
0x00 0110011|0010110 0x1996
0x01 0110101|0010110 0x1A96
BX = 110 Event : 7
BX = 111 Event : 8
0x00 0001000|0010011 0x0413
0x01 0100001|0111000 0x10B8
0x02 0100011|0111010 0x11BA
0x03 0100101|0111010 0x12BA
BX = 000 Event : 9
0x00 0010101|0100101 0x0AA5
BX = 001 Event : 10
0x00 0100000|1000000 0x1040
BX = 010 Event : 11
0x00 0011100|0010100 0x0E14
BX = 011 Event : 12
0x00 0001010|1001011 0x054B
0x01 0110010|1001011 0x194B
0x02 0110011|1001011 0x19CB
BX = 100 Event : 13
0x00 0001111|0001000 0x0788
0x01 0010000|0001000 0x0808
BX = 101 Event : 14
0x00 0001110|0001100 0x070C
0x01 0010111|0111101 0x0BBD
0x02 0010111|0111110 0x0BBE
BX = 110 Event : 15
0x00 0001100|0011010 0x061A
0x01 0101100|0001111 0x160F
0x02 0101100|0010000 0x1610
0x03 0101100|0010001 0x1611
0x04 0101101|0010001 0x1691
BX = 111 Event : 16
0x00 0011001|0011011 0x0C9B
0x01 0101101|0011001 0x1699
BX = 000 Event : 17
0x00 0010111|0101001 0x0BA9
0x01 0010111|0101100 0x0BAC
BX = 001 Event : 18
BX = 010 Event : 19
0x00 1001100|0110001 0x2631
BX = 011 Event : 20
BX = 100 Event : 21
BX = 101 Event : 22
BX = 110 Event : 23
0x00 0001000|0101010 0x042A
BX = 111 Event : 24
0x00 0100011|0110101 0x11B5
0x01 0100110|0110101 0x1335
0x02 0101101|0110110 0x16B6
0x03 0101111|0110110 0x17B6
0x04 1001011|0110001 0x25B1
BX = 000 Event : 25
0x00 0101010|0100001 0x1521
BX = 001 Event : 26
BX = 010 Event : 27
BX = 011 Event : 28
BX = 100 Event : 29
