BX = 000 Event : 1
0x00 0101001|0100101 0x14A5
BX = 001 Event : 2
0x00 0001101|0010101 0x0695
0x01 0010010|0100010 0x0922
0x02 0111111|1001110 0x1FCE
BX = 010 Event : 3
BX = 011 Event : 4
BX = 100 Event : 5
0x00 0001100|0011001 0x0619
0x01 0001101|0010010 0x0692
0x02 0001101|0011001 0x0699
0x03 0010000|0011001 0x0819
0x04 0010001|0010010 0x0892
0x05 0010001|0011001 0x0899
0x06 0111111|0111100 0x1FBC
0x07 1001110|1000010 0x2742
BX = 101 Event : 6
0x00 0010011|0011001 0x0999
0x01 0011111|0100001 0x0FA1
0x02 0100000|0100001 0x1021
0x03 0110111|0111011 0x1BBB
BX = 110 Event : 7
0x00 0001101|0011010 0x069A
0x01 0001101|0011111 0x069F
0x02 0001101|0100001 0x06A1
0x03 0001111|0100111 0x07A7
0x04 0010000|0100000 0x0820
0x05 0010000|0100001 0x0821
0x06 0010100|0100111 0x0A27
0x07 0010101|0100111 0x0AA7
0x08 0111100|1001101 0x1E4D
0x09 0111101|1010000 0x1ED0
0x0a 1000100|1010000 0x2250
BX = 111 Event : 8
0x00 0001101|0011100 0x069C
BX = 000 Event : 9
0x00 0001111|0001101 0x078D
0x01 0010001|0010000 0x0890
0x02 0010100|0010000 0x0A10
0x03 0010101|0010001 0x0A91
0x04 0010101|0010010 0x0A92
BX = 001 Event : 10
BX = 010 Event : 11
0x00 0001110|0010000 0x0710
0x01 0010110|0010010 0x0B12
0x02 0010110|0010100 0x0B14
0x03 0101000|0100100 0x1424
0x04 0101001|0100111 0x14A7
0x05 0110011|0101001 0x19A9
BX = 011 Event : 12
BX = 100 Event : 13
BX = 101 Event : 14
BX = 110 Event : 15
BX = 111 Event : 16
BX = 000 Event : 17
BX = 001 Event : 18
BX = 010 Event : 19
0x00 0001100|0010010 0x0612
0x01 0001100|0010100 0x0614
0x02 0001111|0010010 0x0792
0x03 0001111|0010100 0x0794
0x04 0010000|0010010 0x0812
BX = 011 Event : 20
0x00 0100001|0110100 0x10B4
0x01 0100010|0110100 0x1134
BX = 100 Event : 21
0x00 0001111|0010101 0x0795
0x01 0010000|0010101 0x0815
0x02 0111100|0111010 0x1E3A
BX = 101 Event : 22
0x00 0011100|0111110 0x0E3E
BX = 110 Event : 23
BX = 111 Event : 24
0x00 0010001|0011011 0x089B
BX = 000 Event : 25
0x00 0001101|0010111 0x0697
0x01 0001101|0011001 0x0699
0x02 0010000|0010111 0x0817
0x03 0101001|0101101 0x14AD
0x04 0101001|0110000 0x14B0
BX = 001 Event : 26
0x00 0000100|0010001 0x0211
0x01 0000101|0010001 0x0291
0x02 0000111|0010001 0x0391
0x03 0000111|0010010 0x0392
BX = 010 Event : 27
BX = 011 Event : 28
BX = 100 Event : 29
BX = 101 Event : 30
0x00 0010000|0100011 0x0823
0x01 0011011|0100001 0x0DA1
0x02 0011100|0100001 0x0E21
BX = 110 Event : 31
BX = 111 Event : 32
BX = 000 Event : 33
0x00 0010110|0011000 0x0B18
BX = 001 Event : 34
0x00 0100111|0110111 0x13B7
0x01 0100111|0111000 0x13B8
0x02 0101000|0110111 0x1437
0x03 0101000|0111000 0x1438
BX = 010 Event : 35
0x00 0110010|0101011 0x192B
0x01 0110010|0101101 0x192D
0x02 0111100|0101111 0x1E2F
BX = 011 Event : 36
BX = 100 Event : 37
0x00 0010101|0011101 0x0A9D
0x01 0101111|1000011 0x17C3
BX = 101 Event : 38
0x00 0101010|1000111 0x1547
0x01 0101110|1000111 0x1747
0x02 0110010|1001000 0x1948
BX = 110 Event : 39
0x00 0001101|0011011 0x069B
BX = 111 Event : 40
0x00 0001011|0011011 0x059B
0x01 0001111|0011001 0x0799
0x02 0001111|0011111 0x079F
0x03 0001111|0100000 0x07A0
0x04 0010101|0011001 0x0A99
0x05 0010101|0100000 0x0AA0
0x06 0010110|0011111 0x0B1F
0x07 0011110|0100100 0x0F24
BX = 000 Event : 41
BX = 001 Event : 42
0x00 0001010|0010010 0x0512
0x01 0001100|0010010 0x0612
0x02 0011101|0110000 0x0EB0
BX = 010 Event : 43
0x00 0010010|0010110 0x0916
BX = 011 Event : 44
0x00 0011000|0011100 0x0C1C
0x01 0011000|0011110 0x0C1E
BX = 100 Event : 45
BX = 101 Event : 46
BX = 110 Event : 47
0x00 0001101|0011010 0x069A
0x01 0001111|0011010 0x079A
BX = 111 Event : 48
0x00 0100010|0110001 0x1131
BX = 000 Event : 49
0x00 0001100|0011010 0x061A
BX = 001 Event : 50
0x00 0100010|0111011 0x113B
0x01 0100010|0111100 0x113C
0x02 0100010|1000001 0x1141
BX = 010 Event : 51
BX = 011 Event : 52
0x00 0111100|1010000 0x1E50
0x01 0111100|1010001 0x1E51
BX = 100 Event : 53
BX = 101 Event : 54
BX = 110 Event : 55
0x00 0101011|0110010 0x15B2
BX = 111 Event : 56
BX = 000 Event : 57
0x00 0101000|1001001 0x1449
0x01 0101001|1001001 0x14C9
BX = 001 Event : 58
0x00 0010101|0011001 0x0A99
0x01 0010110|0010111 0x0B17
0x02 0010110|0011000 0x0B18
0x03 0010111|0011001 0x0B99
0x04 0011000|0010111 0x0C17
0x05 0011000|0011000 0x0C18
0x06 0110000|0101111 0x182F
BX = 010 Event : 59
0x00 0101011|1001010 0x15CA
BX = 011 Event : 60
0x00 0010100|0011000 0x0A18
BX = 100 Event : 61
0x00 0110110|1000001 0x1B41
0x01 0110111|1000001 0x1BC1
BX = 101 Event : 62
0x00 0001101|0011001 0x0699
0x01 0001101|0011010 0x069A
0x02 0001110|0011001 0x0719
0x03 0001110|0011010 0x071A
0x04 0001110|0011011 0x071B
BX = 110 Event : 63
0x00 0011100|0101000 0x0E28
0x01 0100111|0101000 0x13A8
0x02 0110000|0110010 0x1832
BX = 111 Event : 64
0x00 0100100|0111100 0x123C
0x01 0100100|0111110 0x123E
BX = 000 Event : 65
BX = 001 Event : 66
0x00 0001110|0010001 0x0711
0x01 0001111|0010001 0x0791
0x02 0010100|0011001 0x0A19
BX = 010 Event : 67
0x00 0010010|0100000 0x0920
0x01 0010011|0100000 0x09A0
BX = 011 Event : 68
BX = 100 Event : 69
0x00 0001010|0100010 0x0522
0x01 0001010|0100101 0x0525
0x02 0010110|0101110 0x0B2E
0x03 0010110|0101111 0x0B2F
0x04 0010111|0101110 0x0BAE
0x05 0010111|0101111 0x0BAF
0x06 0111111|1011101 0x1FDD
0x07 1000001|1011100 0x20DC
0x08 1000110|1011100 0x235C
0x09 1000110|1011101 0x235D
0x0a 1000111|1011100 0x23DC
0x0b 1000111|1011101 0x23DD
BX = 101 Event : 70
BX = 110 Event : 71
BX = 111 Event : 72
0x00 0010001|0011110 0x089E
0x01 0010101|0011101 0x0A9D
0x02 0011011|0100101 0x0DA5
0x03 0011111|0100101 0x0FA5
0x04 0011111|0101001 0x0FA9
0x05 0100110|0101011 0x132B
0x06 0100110|0101100 0x132C
0x07 0111100|1000110 0x1E46
0x08 1001000|1001111 0x244F
BX = 000 Event : 73
BX = 001 Event : 74
0x00 0011101|0100111 0x0EA7
BX = 010 Event : 75
0x00 0010100|0010110 0x0A16
0x01 0010110|0010110 0x0B16
BX = 011 Event : 76
0x00 0001011|0011101 0x059D
0x01 0001011|0011111 0x059F
0x02 0010001|0011100 0x089C
0x03 0010011|0011100 0x099C
0x04 0111000|1010000 0x1C50
0x05 0111011|1010100 0x1DD4
0x06 0111100|1010000 0x1E50
BX = 100 Event : 77
0x00 0100110|0110111 0x1337
BX = 101 Event : 78
0x00 0001011|0011001 0x0599
0x01 0001110|0011001 0x0719
0x02 0010011|0100001 0x09A1
BX = 110 Event : 79
0x00 0001100|0010010 0x0612
0x01 0101111|0101011 0x17AB
0x02 0110011|0101110 0x19AE
0x03 0110101|0101110 0x1AAE
0x04 0110110|0101011 0x1B2B
0x05 0111001|0110000 0x1CB0
BX = 111 Event : 80
0x00 1000000|1010011 0x2053
0x01 1000000|1011011 0x205B
0x02 1000111|1010011 0x23D3
0x03 1000111|1011011 0x23DB
0x04 1001001|1010011 0x24D3
0x05 1010011|1100000 0x29E0
BX = 000 Event : 81
BX = 001 Event : 82
0x00 0001010|0011001 0x0519
BX = 010 Event : 83
0x00 0001110|0010101 0x0715
0x01 0001111|0010101 0x0795
BX = 011 Event : 84
0x00 0110011|0110010 0x19B2
BX = 100 Event : 85
0x00 0110000|1001001 0x1849
0x01 0110101|1010001 0x1AD1
0x02 0110110|1001001 0x1B49
0x03 0111100|1001111 0x1E4F
0x04 0111100|1010001 0x1E51
BX = 101 Event : 86
BX = 110 Event : 87
BX = 111 Event : 88
0x00 0010001|0010001 0x0891
0x01 0010001|0010110 0x0896
BX = 000 Event : 89
BX = 001 Event : 90
0x00 0101011|0111000 0x15B8
BX = 010 Event : 91
0x00 0100100|0110100 0x1234
0x01 0101000|0110100 0x1434
0x02 0101110|0101111 0x172F
0x03 0101110|0110000 0x1730
0x04 0101110|0110100 0x1734
0x05 0101110|0110101 0x1735
0x06 0101111|0110100 0x17B4
BX = 011 Event : 92
0x00 0010101|0010101 0x0A95
0x01 0010101|0011011 0x0A9B
BX = 100 Event : 93
0x00 0101010|0110100 0x1534
0x01 0101100|0111000 0x1638
0x02 0110101|1000010 0x1AC2
BX = 101 Event : 94
0x00 0100010|0110001 0x1131
BX = 110 Event : 95
0x00 0101011|0111001 0x15B9
BX = 111 Event : 96
BX = 000 Event : 97
BX = 001 Event : 98
0x00 0001101|0010000 0x0690
0x01 0001101|0010100 0x0694
0x02 0001110|0010000 0x0710
0x03 0001110|0010100 0x0714
0x04 0011100|0011010 0x0E1A
BX = 010 Event : 99
0x00 0110100|1011001 0x1A59
0x01 0110100|1011010 0x1A5A
0x02 0111000|1011001 0x1C59
0x03 0111000|1011010 0x1C5A
0x04 0111010|1011001 0x1D59
0x05 1000101|1100001 0x22E1
0x06 1000101|1100010 0x22E2
BX = 011 Event : 100
